---------------
WORDS: sport three terms 

and RESULT ITEMS:
SCORE: 10.208925 | ITEM NUMBER 64 | ITEM ID: 1776008
SCORE: 10.133017 | ITEM NUMBER 65 | ITEM ID: 1973891
SCORE: 10.125847 | ITEM NUMBER 66 | ITEM ID: 87389
SCORE: 10.099850 | ITEM NUMBER 67 | ITEM ID: 649724
SCORE: 10.099850 | ITEM NUMBER 68 | ITEM ID: 1441372
SCORE: 10.099850 | ITEM NUMBER 69 | ITEM ID: 1360439
SCORE: 10.099850 | ITEM NUMBER 70 | ITEM ID: 2005393
SCORE: 10.014347 | ITEM NUMBER 71 | ITEM ID: 4730914
SCORE: 10.014347 | ITEM NUMBER 72 | ITEM ID: 4738395
SCORE: 9.999189 | ITEM NUMBER 73 | ITEM ID: 1123978
SCORE: 9.956831 | ITEM NUMBER 74 | ITEM ID: 464688
SCORE: 9.938653 | ITEM NUMBER 75 | ITEM ID: 370029
SCORE: 9.938653 | ITEM NUMBER 76 | ITEM ID: 1621789
SCORE: 9.938653 | ITEM NUMBER 77 | ITEM ID: 1995438
SCORE: 9.938653 | ITEM NUMBER 78 | ITEM ID: 4787167
SCORE: 9.938653 | ITEM NUMBER 79 | ITEM ID: 2181703
SCORE: 9.927389 | ITEM NUMBER 80 | ITEM ID: 733192
SCORE: 9.927389 | ITEM NUMBER 81 | ITEM ID: 219785
SCORE: 9.927389 | ITEM NUMBER 82 | ITEM ID: 1981237
SCORE: 9.915347 | ITEM NUMBER 83 | ITEM ID: 1147696
SCORE: 9.915347 | ITEM NUMBER 84 | ITEM ID: 1149201
SCORE: 9.915347 | ITEM NUMBER 85 | ITEM ID: 235338
SCORE: 9.915347 | ITEM NUMBER 86 | ITEM ID: 1409589
SCORE: 9.915347 | ITEM NUMBER 87 | ITEM ID: 1390016
SCORE: 9.915347 | ITEM NUMBER 88 | ITEM ID: 3226689
SCORE: 9.915347 | ITEM NUMBER 89 | ITEM ID: 3140014
SCORE: 9.906189 | ITEM NUMBER 90 | ITEM ID: 348403
SCORE: 9.876313 | ITEM NUMBER 91 | ITEM ID: 1285301
SCORE: 9.876313 | ITEM NUMBER 92 | ITEM ID: 289897
SCORE: 9.876313 | ITEM NUMBER 93 | ITEM ID: 1506900
SCORE: 9.860739 | ITEM NUMBER 94 | ITEM ID: 1570763
SCORE: 9.860405 | ITEM NUMBER 95 | ITEM ID: 1534206
SCORE: 9.860405 | ITEM NUMBER 96 | ITEM ID: 2162761
SCORE: 9.848839 | ITEM NUMBER 97 | ITEM ID: 349504
SCORE: 9.844611 | ITEM NUMBER 98 | ITEM ID: 343261
SCORE: 9.789448 | ITEM NUMBER 99 | ITEM ID: 1126581
SCORE: 9.775555 | ITEM NUMBER 100 | ITEM ID: 456127
SCORE: 9.765281 | ITEM NUMBER 101 | ITEM ID: 350588
SCORE: 9.762279 | ITEM NUMBER 102 | ITEM ID: 342130
SCORE: 9.762279 | ITEM NUMBER 103 | ITEM ID: 3173071
SCORE: 9.725632 | ITEM NUMBER 104 | ITEM ID: 732112
SCORE: 9.699280 | ITEM NUMBER 105 | ITEM ID: 5965278
SCORE: 9.571793 | ITEM NUMBER 106 | ITEM ID: 1930766
SCORE: 9.527288 | ITEM NUMBER 107 | ITEM ID: 2028096
SCORE: 9.501993 | ITEM NUMBER 108 | ITEM ID: 1262831
SCORE: 9.492110 | ITEM NUMBER 109 | ITEM ID: 353830
SCORE: 9.487107 | ITEM NUMBER 110 | ITEM ID: 2163454
SCORE: 9.486221 | ITEM NUMBER 111 | ITEM ID: 1125112
